epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,514.292,1.83617,1.89614,1.25609,0.80034,0.77049,0.83836,0.51285,1.356,1.14194,1.09154,0.000552742,0.000552742,0.000552742
2,1024.03,1.33477,0.89885,1.0315,0.90891,0.91016,0.93645,0.62784,1.20632,0.77866,1.00263,0.00103525,0.00103525,0.00103525
3,1521.65,1.21242,0.78078,0.98648,0.91366,0.92196,0.93721,0.66381,1.07735,0.70948,0.96131,0.00144442,0.00144442,0.00144442
4,2028.79,1.13061,0.7333,0.9608,0.93662,0.93675,0.94908,0.68865,1.00073,0.64537,0.93926,0.00133693,0.00133693,0.00133693
5,2565.63,1.0613,0.66808,0.9469,0.94098,0.93883,0.96106,0.7311,0.90304,0.58087,0.90986,0.00122691,0.00122691,0.00122691
6,3059.74,0.98157,0.62164,0.93401,0.94213,0.93985,0.95285,0.73072,0.90317,0.57654,0.90952,0.00111689,0.00111689,0.00111689
7,3531.08,0.91355,0.57923,0.91512,0.94629,0.94055,0.97159,0.77136,0.80453,0.5308,0.8822,0.00100687,0.00100687,0.00100687
8,4025.39,0.86244,0.54527,0.89756,0.93613,0.95114,0.97993,0.78115,0.79093,0.49925,0.87403,0.000896846,0.000896846,0.000896846
9,4509.79,0.81567,0.5177,0.88275,0.93245,0.94974,0.98541,0.80602,0.72783,0.46659,0.85871,0.000786824,0.000786824,0.000786824
10,4980.06,0.78976,0.51361,0.87645,0.95462,0.93291,0.983,0.80333,0.73113,0.47324,0.86077,0.000676802,0.000676802,0.000676802
11,5452.49,0.77579,0.49129,0.87393,0.93705,0.95961,0.98518,0.81496,0.70315,0.45332,0.85305,0.00056678,0.00056678,0.00056678
12,5931.03,0.73479,0.47076,0.86239,0.93696,0.96533,0.98763,0.8105,0.73021,0.4501,0.85783,0.000456758,0.000456758,0.000456758
13,6429.16,0.72697,0.46155,0.86052,0.91533,0.94637,0.98564,0.81544,0.70406,0.44865,0.85285,0.000346736,0.000346736,0.000346736
14,6948.51,0.693,0.4476,0.85165,0.95319,0.96171,0.98985,0.84713,0.60778,0.39657,0.82854,0.000236714,0.000236714,0.000236714
15,7427.53,0.67091,0.43386,0.84604,0.94374,0.95667,0.98969,0.85248,0.59169,0.39944,0.8244,0.000126692,0.000126692,0.000126692
